"Family","Artifact","LocalStatus","LocalPath","RequiredForP1","Notes"
"TECH","TECH-01","NOT_INGESTED","","NO",""
"TECH","TECH-02","NOT_INGESTED","","YES","Responsibility / ownership source for A3-EC00-02"
"TECH","TECH-03","NOT_INGESTED","","YES","API / data / source-of-truth boundary source for A3-EC00-02"
"TECH","TECH-04","NOT_INGESTED","","NO",""
"TECH","TECH-05","NOT_INGESTED","","NO",""
"TECH","TECH-06","NOT_INGESTED","","NO",""
"TECH","TECH-07","NOT_INGESTED","","NO",""
"TECH","TECH-08A","NOT_INGESTED","","NO",""
"TECH","TECH-08B","NOT_INGESTED","","NO",""
"TECH","TECH-08C","NOT_INGESTED","","NO",""
"BUILDING","BUILDING-01A","NOT_INGESTED","","NO",""
"BUILDING","BUILDING-01B","NOT_INGESTED","","NO",""
"BUILDING","BUILDING-01C","NOT_INGESTED","","NO",""
"BUILDING","BUILDING-01D","NOT_INGESTED","","NO",""
"BUILDING","BUILDING-01E","NOT_INGESTED","","NO",""
"BUILDING","BUILDING-01F","NOT_INGESTED","","NO",""
"BUILDING","BUILDING-01P","NOT_INGESTED","","NO",""
