"FileName","Extension","ArtifactType","Gate","Family","Stage","ExpectedBucket","Directory","FullPath","SizeKB","LastWriteTime"
".env",".env","ENV","UNCLASSIFIED","OTHER","OUTSIDE A3 PRODUCTION","GENERAL / SOURCE","C:\Abay-Germes\HouseMaster","C:\Abay-Germes\HouseMaster\.env","0,1","25.07.2026 12:03:16"
".env.example",".example","EXAMPLE","UNCLASSIFIED","OTHER","OUTSIDE A3 PRODUCTION","GENERAL / SOURCE","C:\Abay-Germes\HouseMaster","C:\Abay-Germes\HouseMaster\.env.example","3,3","24.07.2026 12:56:51"
".gitignore",".gitignore","GITIGNORE","UNCLASSIFIED","OTHER","OUTSIDE A3 PRODUCTION","GENERAL / SOURCE","C:\Abay-Germes\HouseMaster","C:\Abay-Germes\HouseMaster\.gitignore","0,1","10.08.2026 13:09:10"
"01_SCIENTIFIC_CONTINUITY_GRAPH_V1.md",".md","MARKDOWN","UNCLASSIFIED","OTHER","OUTSIDE A3 PRODUCTION","GENERAL / SOURCE","C:\Abay-Germes\HouseMaster","C:\Abay-Germes\HouseMaster\01_SCIENTIFIC_CONTINUITY_GRAPH_V1.md","2,9","28.07.2026 8:09:40"
".env.local",".local","LOCAL","UNCLASSIFIED","OTHER","OUTSIDE A3 PRODUCTION","GENERAL / SOURCE","C:\Abay-Germes\HouseMaster\apps\web","C:\Abay-Germes\HouseMaster\apps\web\.env.local","0,3","24.07.2026 15:10:49"
".gitignore",".gitignore","GITIGNORE","UNCLASSIFIED","OTHER","OUTSIDE A3 PRODUCTION","GENERAL / SOURCE","C:\Abay-Germes\HouseMaster\apps\web","C:\Abay-Germes\HouseMaster\apps\web\.gitignore","0,5","24.07.2026 12:56:51"
"app-path-routes-manifest.json",".json","JSON","UNCLASSIFIED","OTHER","OUTSIDE A3 PRODUCTION","GENERAL / SOURCE","C:\Abay-Germes\HouseMaster\apps\web\.next","C:\Abay-Germes\HouseMaster\apps\web\.next\app-path-routes-manifest.json","0,3","19.08.2026 11:25:44"
"031494c8e9dcd9cd.js",".js","JS","UNCLASSIFIED","OTHER","OUTSIDE A3 PRODUCTION","GENERAL / SOURCE","C:\Abay-Germes\HouseMaster\apps\web\.next\build","C:\Abay-Germes\HouseMaster\apps\web\.next\build\031494c8e9dcd9cd.js","0,9","19.08.2026 11:25:26"
"031494c8e9dcd9cd.js.map",".map","MAP","UNCLASSIFIED","OTHER","OUTSIDE A3 PRODUCTION","GENERAL / SOURCE","C:\Abay-Germes\HouseMaster\apps\web\.next\build","C:\Abay-Germes\HouseMaster\apps\web\.next\build\031494c8e9dcd9cd.js.map","0,1","19.08.2026 11:25:26"
"[root-of-the-server]__0mdq2gk._.js",".js","JS","UNCLASSIFIED","OTHER","OUTSIDE A3 PRODUCTION","GENERAL / SOURCE","C:\Abay-Germes\HouseMaster\apps\web\.next\build\chunks","C:\Abay-Germes\HouseMaster\apps\web\.next\build\chunks\[root-of-the-server]__0mdq2gk._.js","8,4","19.08.2026 11:25:26"
"[root-of-the-server]__0mdq2gk._.js.map",".map","MAP","UNCLASSIFIED","OTHER","OUTSIDE A3 PRODUCTION","GENERAL / SOURCE","C:\Abay-Germes\HouseMaster\apps\web\.next\build\chunks","C:\Abay-Germes\HouseMaster\apps\web\.next\build\chunks\[root-of-the-server]__0mdq2gk._.js.map","9,8","19.08.2026 11:25:26"
"[root-of-the-server]__1bewiw2._.js",".js","JS","UNCLASSIFIED","OTHER","OUTSIDE A3 PRODUCTION","GENERAL / SOURCE","C:\Abay-Germes\HouseMaster\apps\web\.next\build\chunks","C:\Abay-Germes\HouseMaster\apps\web\.next\build\chunks\[root-of-the-server]__1bewiw2._.js","17,3","19.08.2026 11:25:26"
"[root-of-the-server]__1bewiw2._.js.map",".map","MAP","UNCLASSIFIED","OTHER","OUTSIDE A3 PRODUCTION","GENERAL / SOURCE","C:\Abay-Germes\HouseMaster\apps\web\.next\build\chunks","C:\Abay-Germes\HouseMaster\apps\web\.next\build\chunks\[root-of-the-server]__1bewiw2._.js.map","25,8","19.08.2026 11:25:26"
"[turbopack]_runtime.js",".js","JS","UNCLASSIFIED","OTHER","OUTSIDE A3 PRODUCTION","GENERAL / SOURCE","C:\Abay-Germes\HouseMaster\apps\web\.next\build\chunks","C:\Abay-Germes\HouseMaster\apps\web\.next\build\chunks\[turbopack]_runtime.js","32,9","19.08.2026 11:25:26"
"[turbopack]_runtime.js.map",".map","MAP","UNCLASSIFIED","OTHER","OUTSIDE A3 PRODUCTION","GENERAL / SOURCE","C:\Abay-Germes\HouseMaster\apps\web\.next\build\chunks","C:\Abay-Germes\HouseMaster\apps\web\.next\build\chunks\[turbopack]_runtime.js.map","61,3","19.08.2026 11:25:26"
"[turbopack-node]_transforms_postcss_ts_1l71t5i._.js",".js","JS","UNCLASSIFIED","OTHER","OUTSIDE A3 PRODUCTION","GENERAL / SOURCE","C:\Abay-Germes\HouseMaster\apps\web\.next\build\chunks","C:\Abay-Germes\HouseMaster\apps\web\.next\build\chunks\[turbopack-node]_transforms_postcss_ts_1l71t5i._.js","0,6","19.08.2026 11:25:26"
"[turbopack-node]_transforms_postcss_ts_1l71t5i._.js.map",".map","MAP","UNCLASSIFIED","OTHER","OUTSIDE A3 PRODUCTION","GENERAL / SOURCE","C:\Abay-Germes\HouseMaster\apps\web\.next\build\chunks","C:\Abay-Germes\HouseMaster\apps\web\.next\build\chunks\[turbopack-node]_transforms_postcss_ts_1l71t5i._.js.map","0,1","19.08.2026 11:25:26"
"node_modules__pnpm_0ovhuz_._.js",".js","JS","UNCLASSIFIED","OTHER","OUTSIDE A3 PRODUCTION","GENERAL / SOURCE","C:\Abay-Germes\HouseMaster\apps\web\.next\build\chunks","C:\Abay-Germes\HouseMaster\apps\web\.next\build\chunks\node_modules__pnpm_0ovhuz_._.js","252,3","19.08.2026 11:25:26"
"node_modules__pnpm_0ovhuz_._.js.map",".map","MAP","UNCLASSIFIED","OTHER","OUTSIDE A3 PRODUCTION","GENERAL / SOURCE","C:\Abay-Germes\HouseMaster\apps\web\.next\build\chunks","C:\Abay-Germes\HouseMaster\apps\web\.next\build\chunks\node_modules__pnpm_0ovhuz_._.js.map","395,6","19.08.2026 11:25:26"
"package.json",".json","JSON","UNCLASSIFIED","OTHER","OUTSIDE A3 PRODUCTION","GENERAL / SOURCE","C:\Abay-Germes\HouseMaster\apps\web\.next\build","C:\Abay-Germes\HouseMaster\apps\web\.next\build\package.json","0","19.08.2026 11:25:26"
"BUILD_ID","","","UNCLASSIFIED","OTHER","OUTSIDE A3 PRODUCTION","GENERAL / SOURCE","C:\Abay-Germes\HouseMaster\apps\web\.next","C:\Abay-Germes\HouseMaster\apps\web\.next\BUILD_ID","0","19.08.2026 11:25:46"
"build-manifest.json",".json","JSON","UNCLASSIFIED","OTHER","OUTSIDE A3 PRODUCTION","GENERAL / SOURCE","C:\Abay-Germes\HouseMaster\apps\web\.next","C:\Abay-Germes\HouseMaster\apps\web\.next\build-manifest.json","0,6","19.08.2026 11:25:36"
